dataset,query_id,draw_id,method,ndcg_at_10,recall_at_20
scifact,1110,2,desa_de,0.0,0.0
scifact,1121,0,original,0.6309297535714575,1.0
scifact,1121,0,expansion_only,1.0,1.0
scifact,1121,0,query_expansion_reencode,1.0,1.0
scifact,1121,0,anchorqe_fixed_015,1.0,1.0
scifact,1121,0,desa_de,1.0,1.0
scifact,1121,1,original,0.6309297535714575,1.0
scifact,1121,1,expansion_only,1.0,1.0
scifact,1121,1,query_expansion_reencode,1.0,1.0
scifact,1121,1,anchorqe_fixed_015,1.0,1.0
scifact,1121,1,desa_de,1.0,1.0
scifact,1121,2,original,0.6309297535714575,1.0
scifact,1121,2,expansion_only,1.0,1.0
scifact,1121,2,query_expansion_reencode,1.0,1.0
scifact,1121,2,anchorqe_fixed_015,1.0,1.0
scifact,1121,2,desa_de,1.0,1.0
scifact,113,0,original,1.0,1.0
scifact,113,0,expansion_only,1.0,1.0
scifact,113,0,query_expansion_reencode,1.0,1.0
scifact,113,0,anchorqe_fixed_015,1.0,1.0
scifact,113,0,desa_de,1.0,1.0
scifact,113,1,original,1.0,1.0
scifact,113,1,expansion_only,1.0,1.0
scifact,113,1,query_expansion_reencode,1.0,1.0
scifact,113,1,anchorqe_fixed_015,1.0,1.0
scifact,113,1,desa_de,1.0,1.0
scifact,113,2,original,1.0,1.0
scifact,113,2,expansion_only,1.0,1.0
scifact,113,2,query_expansion_reencode,1.0,1.0
scifact,113,2,anchorqe_fixed_015,1.0,1.0
scifact,113,2,desa_de,1.0,1.0
scifact,1130,0,original,1.0,1.0
scifact,1130,0,expansion_only,1.0,1.0
scifact,1130,0,query_expansion_reencode,1.0,1.0
scifact,1130,0,anchorqe_fixed_015,1.0,1.0
scifact,1130,0,desa_de,1.0,1.0
scifact,1130,1,original,1.0,1.0
scifact,1130,1,expansion_only,1.0,1.0
scifact,1130,1,query_expansion_reencode,1.0,1.0
scifact,1130,1,anchorqe_fixed_015,1.0,1.0
scifact,1130,1,desa_de,1.0,1.0
scifact,1130,2,original,1.0,1.0
scifact,1130,2,expansion_only,1.0,1.0
scifact,1130,2,query_expansion_reencode,1.0,1.0
scifact,1130,2,anchorqe_fixed_015,1.0,1.0
scifact,1130,2,desa_de,1.0,1.0
scifact,1132,0,original,0.19342640361727081,0.5
scifact,1132,0,expansion_only,0.0,0.5
scifact,1132,0,query_expansion_reencode,0.20438239758848611,0.5
scifact,1132,0,anchorqe_fixed_015,0.19342640361727081,0.5
scifact,1132,0,desa_de,0.20438239758848611,0.5
scifact,1132,1,original,0.19342640361727081,0.5
scifact,1132,1,expansion_only,0.0,0.5
scifact,1132,1,query_expansion_reencode,0.21840743681816419,0.5
scifact,1132,1,anchorqe_fixed_015,0.19342640361727081,0.5
scifact,1132,1,desa_de,0.20438239758848611,0.5
scifact,1132,2,original,0.19342640361727081,0.5
scifact,1132,2,expansion_only,0.3065735963827292,1.0
